Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2908908,2161081,0.2387,BAJO
2908909,2161081,0.2387,BAJO
2908910,2161081,0.2387,BAJO
2908911,2161081,0.2387,BAJO
2908949,2080544,0.2233,BAJO
2908950,2080544,0.2233,BAJO
2908951,2080544,0.2233,BAJO
2908952,2080544,0.2233,BAJO
2909116,2181110,0.2705,BAJO
2909117,2181110,0.2705,BAJO
2909118,2181110,0.2705,BAJO
2909119,2181110,0.2705,BAJO
2912973,22502690,0.2855,BAJO
2908954,2176603,0.3221,MEDIO
2909496,22500449,0.3769,MEDIO
2909497,22500449,0.3769,MEDIO
2909498,22500449,0.3769,MEDIO
2909499,22500449,0.3769,MEDIO
2909698,2227638,0.3165,MEDIO
2909699,2227638,0.3165,MEDIO
2909700,2227638,0.3165,MEDIO
2909701,2227638,0.3165,MEDIO
2909508,22502175,0.2532,BAJO
2909509,22502175,0.2532,BAJO
2909510,22502175,0.2532,BAJO
2909511,22502175,0.2532,BAJO
2909502,22501872,0.3527,MEDIO
2909503,22501872,0.3527,MEDIO
2909504,22501872,0.3527,MEDIO
2909505,22501872,0.3527,MEDIO
2909382,2191409,0.3381,MEDIO
2909383,2191409,0.3381,MEDIO
2909384,2191409,0.3381,MEDIO
2909385,2191409,0.3381,MEDIO
2909401,2176603,0.2982,BAJO
2909642,2210174,0.2725,BAJO
2909643,2210174,0.2725,BAJO
2909644,2210174,0.2725,BAJO
2909645,2210174,0.2725,BAJO
2909378,2195064,0.284,BAJO
2909387,2195064,0.284,BAJO
2909388,2195064,0.284,BAJO
2909389,2195064,0.284,BAJO
2909476,22501961,0.1649,BAJO
2909477,22501961,0.1649,BAJO
2909478,22501961,0.1649,BAJO
2909479,22501961,0.1649,BAJO
2909715,22502685,0.3315,MEDIO
2909716,22502685,0.3315,MEDIO
2909717,22502685,0.3315,MEDIO
2909718,22502685,0.3315,MEDIO
2910195,22500290,0.1731,BAJO
2910196,22500290,0.1731,BAJO
2910197,22500290,0.1731,BAJO
2910198,22500290,0.1731,BAJO
2923074,22501648,0.2665,BAJO
2910111,2200515,0.1555,BAJO
2910112,2200515,0.1555,BAJO
2910113,2200515,0.1555,BAJO
2910114,2200515,0.1555,BAJO
2910053,22501527,0.2497,BAJO
2909999,22500708,0.2645,BAJO
2910000,22500708,0.2645,BAJO
2910001,22500708,0.2645,BAJO
2910002,22500708,0.2645,BAJO
2910532,22502581,0.2843,BAJO
2910533,22502581,0.2843,BAJO
2910534,22502581,0.2843,BAJO
2910061,2185761,0.3081,MEDIO
2910062,2185761,0.3081,MEDIO
2910063,2185761,0.3081,MEDIO
2910064,2185761,0.3081,MEDIO
2910047,22502053,0.2542,BAJO
2910048,22502053,0.2542,BAJO
2910049,22502053,0.2542,BAJO
2910050,22502053,0.2542,BAJO
2910065,2241864,0.1679,BAJO
2910066,2241864,0.1679,BAJO
2910067,2241864,0.1679,BAJO
2910068,2241864,0.1679,BAJO
2910105,22502477,0.3752,MEDIO
2910106,22502477,0.3752,MEDIO
2910107,22502477,0.3752,MEDIO
2910108,22502477,0.3752,MEDIO
2915628,2200049,0.3439,MEDIO
2915629,2200049,0.3439,MEDIO
2915630,2200049,0.3439,MEDIO
2915631,2200049,0.3439,MEDIO
2915632,2200049,0.3439,MEDIO
2915633,2200049,0.3439,MEDIO
2915634,2200049,0.3439,MEDIO
2915635,2200049,0.3439,MEDIO
